District ,2012,2013,2014,2015,2016,2017
Abim,42,43,44,13,14,16
Adjumani,8,7,7,8,9,17
Agago,11,13,11,13,14,15
Alebtong,9,10,11,7,7,8
Amolatar,18,21,19,13,11,9
Amudat,1,2,1,0,3,3
Amuria,14,15,15,18,18,17
Amuru,15,16,15,12,11,11
Apac,10,10,10,6,3,4
Arua,22,22,21,16,18,16
Budaka,48,49,53,39,42,32
Bududa,25,21,25,18,18,18
Bugiri,24,25,27,19,25,19
Buhweju,19,18,20,16,16,14
Buikwe,26,32,31,31,38,22
Bukedea,30,30,27,21,22,20
Bukomansimbi,25,25,28,23,35,31
Bukwo,59,56,57,42,53,56
Bulambuli,39,43,50,29,27,26
Buliisa,22,23,17,6,13,13
Bundibugyo,14,13,14,15,20,17
Bunyangabu,-,-,-,-,-,25
Bushenyi,39,46,51,47,47,47
Busia,37,42,42,32,36,30
Butaleja,30,34,32,24,23,25
Butambala,69,89,89,92,86,71
Butebo,-,-,-,-,-,33
Buvuma,8,9,10,6,7,9
Buyende,24,29,29,19,21,18
Dokolo,15,14,16,8,10,10
Gomba,20,20,25,19,22,18
Gulu,34,32,30,20,36,20
Hoima,25,24,26,23,22,20
Ibanda,39,40,41,32,37,33
Iganga,51,47,56,46,51,46
Isingiro,20,18,20,13,15,10
Jinja,47,48,49,48,49,32
Kaabong,3,2,2,5,6,7
Kabale,37,37,40,31,81,47
Kabarole,37,38,43,28,54,37
Kaberamaido,25,25,25,15,15,17
Kagadi,-,-,-,-,-,25
Kakumiro,-,-,-,-,-,15
Kalangala,10,8,7,16,13,14
Kaliro,41,51,54,29,36,31
Kalungu,43,53,52,46,50,51
Kampala,31,32,30,25,47,38
Kamuli,35,34,37,30,35,27
Kamwenge,23,23,23,17,16,18
Kanungu,32,34,35,32,33,35
Kapchorwa,57,58,60,44,49,47
Kasese,24,26,27,27,29,23
Katakwi,20,16,18,12,15,16
Kayunga,27,38,35,27,29,26
Kibaale,21,21,23,20,115,19
Kiboga,23,27,30,29,28,26
Kibuku,36,38,48,31,36,30
Kiruhura,21,16,16,15,16,14
Kiryandongo,23,22,22,22,24,21
Kisoro,28,25,25,14,23,24
Kitgum,36,33,36,39,37,37
Koboko,20,18,18,21,19,19
Kole,17,18,25,16,16,15
Kotido,5,6,8,9,12,13
Kumi,13,18,22,16,19,24
Kween,32,43,42,38,45,44
Kyankwanzi,13,14,16,14,14,13
Kyegegwa,21,21,22,13,11,12
Kyenjojo,19,20,20,17,16,16
Kyotera,-,-,-,-,-,40
Lamwo,10,7,7,11,14,16
Lira,30,34,37,18,29,25
Luuka,26,38,41,34,38,29
Luwero,43,52,52,46,49,32
Lwengo,21,26,26,28,24,27
Lyantonde,31,33,34,28,27,26
Manafwa,37,33,37,35,99,50
Maracha,17,16,18,14,14,14
Masaka,45,39,56,35,48,43
Masindi,26,25,22,26,23,25
Mayuge,29,29,31,10,29,23
Mbale,64,67,73,50,55,48
Mbarara,40,39,38,30,33,34
Mitooma,36,37,41,44,46,45
Mityana,36,36,39,24,34,26
Moroto,9,9,9,13,13,11
Moyo,9,8,8,22,22,31
Mpigi,51,41,50,41,43,31
Mubende,22,23,24,22,17,21
Mukono,47,42,41,27,40,30
Nakapiripirit,5,5,5,4,5,4
Nakaseke,30,30,32,25,29,22
Nakasongola,43,45,41,30,26,25
Namayingo,15,15,17,17,13,16
Namisindwa,-,-,-,-,-,23
Namutumba,35,40,49,37,42,37
Napak,5,5,5,7,6,5
Nebbi,17,19,19,9,25,16
Ngora,34,38,40,37,33,24
Ntoroko,10,5,12,16,16,16
Ntungamo,26,33,29,28,28,26
Nwoya,38,39,36,10,8,7
Omoro,-,-,-,-,-,13
Otuke,24,24,25,17,16,17
Oyam,10,9,10,5,5,5
Pader,13,10,11,13,14,14
Pakwach,-,-,-,-,-,13
Pallisa,33,34,37,28,49,33
Rakai,29,30,31,29,68,23
Rubanda,-,-,-,-,-,16
Rubirizi,32,37,36,17,27,34
Rukiga,-,-,-,-,-,29
Rukungiri,39,40,41,38,40,42
Serere,23,25,23,19,19,17
Sheema,22,27,24,13,53,30
Sironko,41,49,51,53,26,37
Soroti,35,27,32,26,45,24
Ssembabule,51,46,50,35,24,51
Tororo,45,43,43,34,35,33
Wakiso,28,44,30,26,21,25
Yumbe,10,9,11,9,10,16
Zombo,11,12,13,11,11,11
,,,,,,
,,,,,,
,,,,,,
